#name	radius	orbital_period	semi_major_axis	tperi	impact_parameter	star_name	ra	dec	mag_v
Kepler-1444b	0.194	33.42035034	nan	nan	nan	Kepler-1444	285.330615	42.040436	nan
Kepler-1445b	0.086	10.60052251	nan	nan	nan	Kepler-1445	280.249457	43.915066	nan
Kepler-1446b	0.073	0.68996783	nan	nan	nan	Kepler-1446	289.42396	46.72617	nan
Kepler-1447b	0.259	56.6747285	nan	nan	nan	Kepler-1447	289.643439	50.727089	nan
Kepler-1448b	0.144	12.27065865	nan	nan	nan	Kepler-1448	287.867389	50.595585	nan
Kepler-1449b	0.15	13.2274528	nan	nan	nan	Kepler-1449	288.231731	50.567886	nan
Kepler-145b	0.236	22.951	nan	nan	nan	Kepler-145	291.387762	44.529106	11.93
Kepler-145c	0.385	42.882	nan	nan	nan	Kepler-145	291.387762	44.529106	11.93
Kepler-1450b	0.153	54.5094166	nan	nan	nan	Kepler-1450	294.553828	45.08139	nan
Kepler-1451b	0.299	35.622233	nan	nan	nan	Kepler-1451	293.446425	40.409892	nan
Kepler-1452b	0.241	42.913751	nan	nan	nan	Kepler-1452	292.42283	38.266328	nan
Kepler-1453b	0.238	47.1611696	nan	nan	nan	Kepler-1453	286.125545	47.947613	nan
Kepler-1454b	0.168	47.0319479	nan	nan	nan	Kepler-1454	284.223331	48.831772	nan
Kepler-1455b	0.193	49.276764	nan	nan	nan	Kepler-1455	294.083055	50.502777	nan
Kepler-1456b	0.102	18.1373829	nan	nan	nan	Kepler-1456	286.945321	43.822773	nan
Kepler-1457b	0.178	51.1110243	nan	nan	nan	Kepler-1457	283.770601	42.027245	nan
Kepler-1458b	0.246	47.9872764	nan	nan	nan	Kepler-1458	283.211614	41.038063	nan
Kepler-1459b	0.121	62.8691611	nan	nan	nan	Kepler-1459	282.423025	46.014019	nan
Kepler-146b	0.331	31.158799	0.2	nan	0.21	Kepler-146	294.110756	38.71023	nan
Kepler-146c	0.2792	76.732171	0.364	nan	0.12	Kepler-146	294.110756	38.71023	nan
Kepler-1460b	0.175	29.9633247	nan	nan	nan	Kepler-1460	285.557796	44.010788	nan
Kepler-1461b	0.181	29.3494775	nan	nan	nan	Kepler-1461	285.830458	43.198395	nan
Kepler-1462b	0.341	65.6488341	nan	nan	nan	Kepler-1462	296.397527	42.396918	nan
Kepler-1463b	0.166	25.15864	nan	nan	nan	Kepler-1463	294.487304	42.00692	nan
Kepler-1464b	0.148	31.7785901	nan	nan	nan	Kepler-1464	287.235677	38.754161	nan
Kepler-1464c	0.089	5.32786292	nan	nan	nan	Kepler-1464	287.235677	38.754161	nan
Kepler-1465b	0.158	31.8277111	nan	nan	nan	Kepler-1465	289.819341	51.90485	nan
Kepler-1466b	0.138	31.1750448	nan	nan	nan	Kepler-1466	289.831222	44.609863	nan
Kepler-1467b	0.294	47.0569043	nan	nan	nan	Kepler-1467	295.04854	45.342686	nan
Kepler-1468b	0.154	8.23984869	nan	nan	nan	Kepler-1468	293.519844	41.277405	nan
Kepler-1468c	0.103	3.54553021	nan	nan	nan	Kepler-1468	293.519844	41.277405	nan
Kepler-1469b	0.25	21.8635301	nan	nan	nan	Kepler-1469	293.821357	39.39135	nan
Kepler-147b	0.136	12.610584	0.113	nan	0.51	Kepler-147	287.975766	39.087181	nan
Kepler-147c	0.217	33.416423	0.216	nan	0.02	Kepler-147	287.975766	39.087181	nan
Kepler-1470b	0.095	16.2950903	nan	nan	nan	Kepler-1470	288.695007	39.883191	nan
Kepler-1471b	0.126	3.63899398	nan	nan	nan	Kepler-1471	289.664878	50.020046	nan
Kepler-1472b	0.17	38.1312831	nan	nan	nan	Kepler-1472	294.852648	49.057472	nan
Kepler-1473b	0.106	14.4273551	nan	nan	nan	Kepler-1473	290.636569	48.996082	nan
Kepler-1474b	0.193	36.4333452	nan	nan	nan	Kepler-1474	294.694049	45.866837	nan
Kepler-1475b	0.261	82.177374	nan	nan	nan	Kepler-1475	295.948273	44.753124	nan
Kepler-1476b	0.149	10.35863224	nan	nan	nan	Kepler-1476	284.532096	43.989956	nan
Kepler-1477b	0.105	11.55530021	nan	nan	nan	Kepler-1477	281.298535	42.685753	nan
Kepler-1478b	0.154	26.0840594	nan	nan	nan	Kepler-1478	293.165079	41.746235	nan
Kepler-1479b	0.163	14.53261362	nan	nan	nan	Kepler-1479	285.711919	49.706657	nan
Kepler-148b	0.161	1.729366	0.028	nan	0.05	Kepler-148	289.786216	46.858788	nan
Kepler-148c	0.321	4.180043	0.05	nan	0.48	Kepler-148	289.786216	46.858788	nan
Kepler-148d	0.774	51.84688575	nan	nan	nan	Kepler-148	289.786216	46.858788	nan
Kepler-1480b	0.149	22.12679948	nan	nan	nan	Kepler-1480	291.999771	49.301811	nan
Kepler-1481b	0.11	5.94220998	nan	nan	nan	Kepler-1481	289.438971	49.73122	nan
Kepler-1482b	0.09	12.25383217	nan	nan	nan	Kepler-1482	285.313805	48.725254	nan
Kepler-1483b	0.136	9.5085156	nan	nan	nan	Kepler-1483	295.409776	42.150831	nan
Kepler-1484b	0.188	30.4549136	nan	nan	nan	Kepler-1484	292.684285	38.126286	nan
Kepler-1485b	0.131	19.9157725	nan	nan	nan	Kepler-1485	298.095423	44.737057	nan
Kepler-1486b	0.207	54.6495759	nan	nan	nan	Kepler-1486	290.590382	45.439713	nan
Kepler-1487b	0.19	7.31946363	nan	nan	nan	Kepler-1487	295.498108	38.644501	nan
Kepler-1488b	0.166	39.8189932	nan	nan	nan	Kepler-1488	286.646417	49.937778	nan
Kepler-1489b	0.158	82.294751	nan	nan	nan	Kepler-1489	281.295831	44.465405	nan
Kepler-149b	0.376	29.198943	0.184	nan	0.02	Kepler-149	285.853667	38.384119	nan
Kepler-149c	0.144	55.328328	0.281	nan	0.5	Kepler-149	285.853667	38.384119	nan
Kepler-149d	0.353	160.018032	0.571	nan	0.62	Kepler-149	285.853667	38.384119	nan
Kepler-1490b	0.271	92.4362973	nan	nan	nan	Kepler-1490	295.693573	42.609512	nan
Kepler-1491b	0.135	16.5861762	nan	nan	nan	Kepler-1491	293.629756	45.740651	nan
