#name	radius	orbital_period	semi_major_axis	tperi	impact_parameter	star_name	ra	dec	mag_v
1SWASPJ1407b	nan	3725	3.9	nan	nan	1SWASPJ1407	211.95	-39.76194447	12.4
2M1510Aa	1.57	20.902	0.063	nan	nan	nan	227.6991667	-28.30472223	nan
2M1510Ab	1.57	20.902	0.063	nan	nan	nan	227.6991667	-28.30472223	nan
38Virb	nan	825.9	1.82	nan	nan	38Vir	193.2964895	-3.553099291	6.11
55Cnce	0.1737	0.7365478	0.015439	2449999.836	nan	55Cnc	133.1541667	28.3338889	5.95
AD3116b	1.02	1.982796	nan	nan	nan	AD3116	130.6643334	19.41441632	nan
AUMicb	0.3908	8.462991	0.0645	nan	0.16	AUMic	311.2916667	-31.34083335	8.6
AUMicc	0.3131	18.858991	0.1101	nan	nan	AUMic	311.2916667	-31.34083335	8.6
BD+20594b	0.23	41.6855	0.241	nan	nan	BD+20594	53.650967	20.599232	11
CoRoT-1b	1.49	1.5089557	0.0254	nan	nan	CoRoT-1	102.0791667	-3.1022222	13.6
CoRoT-10b	0.97	13.2406	0.1055	2454990.85	nan	CoRoT-10	291.0625	0.7461111	15.22
CoRoT-11b	1.43	2.994325	0.04351	nan	nan	CoRoT-11	280.6875	5.9377778	12.94
CoRoT-12b	1.44	2.828042	0.04016	nan	nan	CoRoT-12	100.7666667	-1.2963889	15.52
CoRoT-13b	0.885	4.03519	0.051	nan	nan	CoRoT-13	102.7208333	-5.0863889	15.04
CoRoT-14b	1.09	1.51214	0.027	2454787.67	nan	CoRoT-14	103.425	-5.5361111	16.03
CoRoT-15b	1.12	3.06036	0.045	nan	0.38	CoRoT-15	97.11666668	6.186241673	nan
CoRoT-16b	1.17	5.35227	0.0618	nan	nan	CoRoT-16	278.525	-6.0025	15.64
CoRoT-17b	1.02	3.768125	0.0461	nan	nan	CoRoT-17	278.6958333	-6.6122222	15.46
CoRoT-18b	1.31	1.9000693	0.0295	nan	nan	CoRoT-18	98.17083335	0.031388901	14.99
CoRoT-19b	1.29	3.89713	0.0518	nan	nan	CoRoT-19	97.03333334	0.170555562	14.78
CoRoT-2b	1.465	1.7429964	0.0281	nan	nan	CoRoT-2	291.7791667	1.3838889	12.57
CoRoT-20b	0.84	9.24285	0.0902	nan	nan	CoRoT-20	97.730434	0.22692	14.66
CoRoT-21b	1.3	2.72474	0.0417	nan	nan	CoRoT-21	101.05245	-0.29913	16
CoRoT-22b	0.4354	9.75598	0.092	nan	nan	CoRoT-22	280.6666667	6.225000011	11.93
CoRoT-23b	1.08	3.6314	0.0477	nan	nan	CoRoT-23	279.782615	4.3578	15.63
CoRoT-24b	0.33	5.1134	0.056	nan	nan	CoRoT-24	101.925	-3.719444461	nan
CoRoT-24c	0.44	11.759	0.098	nan	nan	CoRoT-24	101.925	-3.719444461	nan
CoRoT-25b	1.08	4.86069	0.0578	nan	nan	CoRoT-25	280.6292	6.5139	15
CoRoT-26b	1.26	4.20474	0.0526	nan	nan	CoRoT-26	279.75	6.97	15.76
CoRoT-27b	1.007	3.57532	0.0476	nan	nan	CoRoT-27	278.4958	5.5386	15.54
CoRoT-28b	0.955	5.20851	0.059	nan	0.24	CoRoT-28	278.6875	5.5739	13.49
CoRoT-29b	0.9	2.85057	0.039	nan	0.43	CoRoT-29	278.9042	6.4797	15.35
CoRoT-3b	1.19	4.2567994	0.057	nan	nan	CoRoT-3	292.0541667	0.1219444	13.3
CoRoT-30b	1.009	9.06005	0.0844	nan	0	CoRoT-30	277.6	6.835833352	15.65
CoRoT-31b	1.46	4.62941	0.0586	nan	0.87	CoRoT-31	94.82083334	-4.422222235	15.7
CoRoT-32b	0.57	6.71837	0.071	nan	nan	CoRoT-32	100.1958333	9.257500011	14
CoRoT-33b	1.1	5.819143	0.0579	nan	1.04	CoRoT-33	279.6416667	5.624722241	14.7
CoRoT-4b	1.19	9.20205	0.09	nan	nan	CoRoT-4	102.1958333	-0.6727778	13.7
CoRoT-5b	1.33	4.0378962	0.04947	nan	nan	CoRoT-5	101.2791667	0.8152778	14
CoRoT-6b	1.166	8.886593	0.0855	2454595.614	nan	CoRoT-6	281.075	6.6633333	13.9
CoRoT-7b	0.136	0.853585	0.0172	nan	nan	CoRoT-7	100.9541667	-1.0627778	11.7
CoRoT-8b	0.5692	6.21229	0.063	nan	nan	CoRoT-8	291.5875	1.4266667	14.8
CoRoT-9b	0.94	95.273804	0.407	nan	nan	CoRoT-9	280.7875	6.2041667	13.7
DSTucAb	0.5085	8.138268	0.0795	nan	0.4	DSTucA	354.9166667	-69.19583335	9
EPIC201170410b	0.09341	6.7987	0.0349	nan	0.46	EPIC201170410	170.1416667	-4.806944466	nan
EPIC201238110b	0.167	28.1656	nan	nan	0.24	EPIC201238110	179.705933	-3.389389	nan
EPIC201295312b	0.245	5.65639	nan	nan	0.43	K2-44	174.011627	-2.520881	12.5
EPIC201497682b	0.062	2.13174	nan	nan	0.21	EPIC201497682	168.936646	0.488114	nan
EPIC201757695b	0.08101	2.0478	0.0296	nan	0.12	EPIC201757695	173.9375	4.616388914	nan
EPIC201833600c	0.089	3.96151	nan	nan	0.4	K2-50	169.483627	5.988378	nan
EPIC201841433b	0.093	4.1698	0.035	nan	0.21	EPIC201841433	175.206772	6.134857	nan
EPIC205084841b	1.561	11.310099	0.104	nan	0.62	EPIC205084841	249	-19.5	nan
EPIC205950854c	0.117	8.050722	0.06231	nan	0.064	K2-168	333.109894	-16.341755	12.2
EPIC206024342b	0.152	4.50756	nan	nan	0.7	EPIC206024342	331.277222	-14.121665	nan
EPIC206032309b	0.09	2.87814	nan	nan	0.26	EPIC206032309	341.240692	-13.900921	nan
EPIC206042996b	0.145	5.29711	nan	nan	0.26	EPIC206042996	337.51358	-13.610113	nan
EPIC206061524b	0.978	5.8797	0.0563	nan	0.8	EPIC206061524	335.0573522	-13.11462615	nan
EPIC206215704b	0.08	2.25372	nan	nan	0.28	EPIC206215704	335.094818	-9.509531	nan
EPIC206317286b	0.086	1.58252	nan	nan	0.57	EPIC206317286	337.617584	-7.972406	nan
EPIC211442297b	1.115	20.273034	0.1367	nan	0.702	K2-115	126.553444	12.281936	nan
EPIC211822797b	0.177	21.169861	0.131	nan	nan	EPIC211822797	130.41037	17.640005	nan
EPIC211939692.01	0.232	26.8549	nan	nan	0.18	EPIC211939692	128.401884	19.320186	12
EPIC211939692.02	0.232	39.553	nan	nan	0.23	EPIC211939692	128.401884	19.320186	12
EPIC211945201b	0.514	19.49221	0.1493	nan	0.58	EPIC211945201	136.573975	19.402252	10.15
EPIC212036875b	0.83	5.16992	0.0621	2458130.538	0.92	EPIC212036875	134.6916667	20.86916669	11
EPIC212297394b	0.118	2.28943	nan	nan	0.45	EPIC212297394	207.206223	-17.609905	nan
EPIC212424622b	0.194	18.0983	nan	nan	0.74	EPIC212424622	202.331421	-14.359463	nan
EPIC212499991b	0.143	34.885	nan	nan	0.28	EPIC212499991	202.48877	-12.734723	nan
EPIC212587672b	0.1	15.2841	nan	nan	0.24	EPIC212587672	205.444702	-10.862432	nan
EPIC212737443b	0.231	13.603	0.098	nan	0.479	EPIC212737443	204.221695	-7.318144	14.8
EPIC212737443c	0.24	65.55	0.28	nan	0.567	EPIC212737443	204.221695	-7.318144	14.8
EPIC219388192b	0.846	5.292569	0.0593	2457339.826	0.091	EPIC219388192	289.3916667	-16.87166669	12.5
EPIC220554210c	0.132	0.70531	nan	nan	0.25	K2-282	13.432017	7.995316	nan
EPIC220674823b	0.162	0.571331	0.0134	nan	0.42	EPIC220674823	13.07978	10.794699	12.1
EPIC220674823c	0.244	13.339079	0.1091	nan	0.41	EPIC220674823	13.07978	10.794699	12.1
EPIC246193072b	0.774	12.4551225	0.1016	nan	0.364	EPIC246193072	351.1333333	-5.164166681	nan
EPIC246851721b	1.051	6.180235	0.07229	2457858.93	0.647	EPIC246851721	78.91975001	16.27874168	11.4
EPIC249893012b	0.174	3.5951	0.047	nan	0.42	EPIC249893012	228.25	-16.72472224	11.4
EPIC249893012c	0.3274	15.624	0.13	nan	0.6	EPIC249893012	228.25	-16.72472224	11.4
EPIC249893012d	0.3515	35.747	0.22	nan	0.25	EPIC249893012	228.25	-16.72472224	11.4
G9-40b	0.181	5.746007	0.0385	nan	0.672	G9-40	134.718109	21.076048	13.8
GJ1132b	0.1035	1.628931	0.0154	nan	0.38	GJ1132	153.7166667	-47.15666668	13.5
GJ1214b	0.24463	1.580404497	0.01411	nan	nan	GJ1214	258.8291667	4.9638889	14.71
GJ1252b	0.10643	0.5182349	0.00916	nan	0.44	GJ1252	306.925	-56.45694446	12
GJ143b	0.2329	35.61253	0.1932	nan	0.587	GJ143	51.74583335	-63.49916669	8.3
GJ143c	0.07958	7.78993	0.0695	nan	0.42	GJ143	51.74583335	-63.49916669	8.3
GJ3470b	0.373807429	3.336649	0.03557	nan	nan	GJ3470	119.775	15.3916667	12.3
GJ3473b	0.11277	1.1980035	0.01589	nan	nan	GJ3473	120.5958333	3.3388889	13
GJ357b	0.10411	3.93086	0.033	2458517.999	0.529	GJ357	144.0068219	-21.66079954	nan
GJ436b	0.38	2.64394	0.02887	2452992.1	nan	GJ436	175.5458333	26.7063889	10.68
GJ486b	0.11643	1.467119	0.01734	nan	nan	GJ486	191.9875	9.751388905	11.4
GJ9827b	0.13641	1.2089765	0.01866	nan	0.57	GJ9827	352.1041667	-1.286388897	10.4
GJ9827c	0.107	3.648086	0.03896	nan	0.53	GJ9827	352.1041667	-1.286388897	10.4
GJ9827d	0.17441	6.20183	0.0555	nan	0.91	GJ9827	352.1041667	-1.286388897	10.4
GPX-1b	1.47	1.744579	0.0338	nan	nan	GPX-1	38.37083334	56.02583334	11.3
Gaia14aaeb	0.603	0.0345	nan	nan	nan	Gaia14aae	242.8916667	63.14222223	18
HAT-P-1b	1.319	4.46529976	0.05561	nan	nan	HAT-P-1	344.4458333	38.675	10.4
HAT-P-10Ab	1.045	3.722469	0.0439	nan	nan	HAT-P-10A	47.3708333	30.6736111	11.89
HAT-P-11b	0.389	4.887802443	0.053	nan	0.209	HAT-P-11	297.7083333	48.0808333	9.59
HAT-P-12b	0.949	3.2130598	0.0384	nan	nan	HAT-P-12	209.3916667	43.4936111	12.84
HAT-P-13b	1.28	2.916243	0.0426	nan	nan	HAT-P-13	129.8833333	47.3519444	10.62
HAT-P-14b	1.2	4.627657	0.0594	nan	nan	HAT-P-14	260.1166667	38.2422222	9.98
HAT-P-15b	1.072	10.863502	0.0964	nan	nan	HAT-P-15	66.25	39.4605556	12.16
HAT-P-16b	1.289	2.77596	0.0413	nan	nan	HAT-P-16	9.575	42.4630556	10.8
HAT-P-17b	1.01	10.338523	0.0882	nan	nan	HAT-P-17	324.5375	30.4886111	10.54
HAT-P-18b	0.947	5.508029	0.0559	nan	0.324	HAT-P-18	256.35	33.0125	12.76
HAT-P-19b	1.132	4.008784	0.0466	nan	nan	HAT-P-19	9.5166667	34.7116667	12.9
HAT-P-2b	0.951	5.6334729	0.0674	2454213.479	nan	HAT-P-2	245.15	41.0480556	8.71
HAT-P-20b	0.867	2.875317	0.0361	nan	nan	HAT-P-20	111.9166667	24.3363889	11.34
HAT-P-21b	1.024	4.124461	0.0494	nan	nan	HAT-P-21	171.275	41.0280556	11.46
HAT-P-22b	1.08	3.21222	0.0414	nan	nan	HAT-P-22	155.6833333	50.1283333	9.73
HAT-P-23b	1.368	1.212884	0.0232	nan	nan	HAT-P-23	306.125	16.7622222	11.94
HAT-P-24b	1.242	3.35524	0.0465	nan	nan	HAT-P-24	108.825	14.2622222	11.82
HAT-P-25b	1.19	3.652836	0.0466	nan	nan	HAT-P-25	48.4375	25.1975	13.19
HAT-P-26b	0.5647	4.234516	0.0479	nan	nan	HAT-P-26	213.1564042	4.06003612	11.74
HAT-P-27b	1.055	3.0395803	0.0403	nan	nan	HAT-P-27	222.7666667	5.9472222	12.21
HAT-P-28b	1.212	3.257215	0.0434	nan	nan	HAT-P-28	13	34.7283333	13.03
HAT-P-29b	1.107	5.723186	0.0667	nan	nan	HAT-P-29	33.1291667	51.7788889	11.9
HAT-P-3b	0.827	2.899703	0.03866	nan	nan	HAT-P-3	206.0958333	48.0286111	11.86
HAT-P-30b	1.34	2.810595	0.0419	nan	nan	HAT-P-30	123.95	5.8366667	10.42
HAT-P-31b	1.07	5.005425	0.055	nan	nan	HAT-P-31	271.5375	26.4266667	11.66
HAT-P-32b	1.789	2.15000825	0.03427	nan	nan	HAT-P-32	31.04166667	46.6877778	11.29
HAT-P-33b	1.827	3.474474	0.0503	nan	nan	HAT-P-33	113.1833333	33.835	11.89
HAT-P-34b	1.107	5.452654	0.0677	nan	nan	HAT-P-34	303.1958333	18.105	10.16
HAT-P-35b	1.332	3.646706	0.0498	nan	nan	HAT-P-35	123.25	4.7869444	12.46
HAT-P-36b	1.264	1.327347	0.0238	nan	nan	HAT-P-36	188.2625	44.9152778	12.26
HAT-P-37b	1.178	2.797436	0.0379	nan	nan	HAT-P-37	284.2958333	51.2691667	13.23
HAT-P-38b	0.825	4.640382	0.0523	nan	nan	HAT-P-38	35.38300001	32.24633335	12.56
HAT-P-39b	1.571	3.54387	0.0509	nan	nan	HAT-P-39	113.7583	17.83	11.422
HAT-P-4b	1.27	3.0565114	0.0446	nan	nan	HAT-P-4	229.9916667	36.2297222	11.2
HAT-P-40b	1.73	4.457243	0.0608	nan	nan	HAT-P-40	335.5125	45.4575	11.699
HAT-P-41b	1.685	2.694047	0.0426	nan	nan	HAT-P-41	297.3208	4.6725	11.087
HAT-P-42b	1.277	4.641876	0.0575	nan	nan	HAT-P-42	135.3458	6.0972	12.168
HAT-P-43b	1.283	3.332688	0.0443	nan	nan	HAT-P-43	128.925	10.2067	13.36
HAT-P-44b	1.28	4.301217	0.0507	nan	nan	HAT-P-44	213.1458	47.0147	13.212
HAT-P-44c	nan	219.9	0.699	nan	nan	HAT-P-44	213.1458	47.0147	13.212
HAT-P-45b	1.426	3.128992	0.0452	nan	nan	HAT-P-45	274.375	-3.3811	12.794
HAT-P-46b	1.284	4.463129	0.0577	nan	nan	HAT-P-46	270.4458	-2.9708333	11.936
HAT-P-46c	nan	77.7	0.387	nan	nan	HAT-P-46	270.4458	-2.9708333	11.936
HAT-P-47b	1.313	4.732182	0.0615	nan	0.794	HAT-P-47	38.30833334	30.36055557	10.6
HAT-P-48b	1.131	4.40865	0.0543	nan	0.281	HAT-P-48	44.47083335	30.62583335	12.16
HAT-P-49b	1.413	2.691548	0.0438	nan	nan	HAT-P-49	305.4416667	26.6927778	10.21
HAT-P-5b	1.252	2.788491	0.04079	nan	nan	HAT-P-5	274.4054125	36.62135557	12
HAT-P-50b	1.288	3.1220109	0.0453	nan	0.629	HAT-P-50	118.0625	28.13944445	11.76
HAT-P-51b	1.293	4.2180278	0.05069	nan	0.277	HAT-P-51	21.06666667	32.81083336	13.44
HAT-P-52b	1.009	2.7535953	0.03694	nan	0.461	HAT-P-52	42.72083335	29.02250001	14.07
HAT-P-53b	1.318	1.9616241	0.03159	nan	0.38	HAT-P-53	21.87083334	38.96805558	13.73
HAT-P-54b	0.944	3.799847	0.04117	nan	nan	HAT-P-54	99.89804168	25.4825278	13.505
HAT-P-55b	1.182	3.5852467	0.04604	nan	0.153	HAT-P-55	264.273	25.73119447	13.207
HAT-P-56b	1.51	2.79083	0.0423	nan	0.7613	HAT-P-56	100.848038	27.252293	10.91
HAT-P-57b	1.413	2.465295	0.0406	nan	0.031	HAT-P-57	282.2416667	10.59722225	10.47
HAT-P-58b	1.332	4.013837	0.04994	nan	0.534	HAT-P-58	68.84583334	56.86833335	13
HAT-P-59b	1.123	4.1419771	0.05064	nan	0.8299	HAT-P-59	292.4583334	62.52916669	11.8
HAT-P-6b	1.33	3.853003	0.05235	nan	nan	HAT-P-6	354.775	42.4661111	10.5
HAT-P-60b	1.631	4.7947813	0.06277	nan	0.668	HAT-P-60	28.28333334	52.05388889	9.7
HAT-P-61b	0.899	1.90231289	0.0301	nan	0.767	HAT-P-61	75.47916669	50.1313889	13.2
HAT-P-62b	1.073	2.6453235	0.03772	nan	0.25	HAT-P-62	74.50416667	48.30111112	nan
HAT-P-63b	1.119	3.377728	0.04294	nan	0.262	HAT-P-63	269.5708333	5.761388913	13.7
HAT-P-64b	1.703	4.007232	0.05387	nan	0.232	HAT-P-64	68.97500002	2.431388909	12.8
HAT-P-65b	1.89	2.6054552	0.03951	nan	0.464	HAT-P-65	315.9041667	11.98944447	13.15
HAT-P-66b	1.59	2.972086	0.04363	nan	0.11	HAT-P-66	150.573	53.95086113	13
HAT-P-67b	2.085	4.81010205	0.06505	nan	0.12	HAT-P-67	256.6125	44.77694447	10.69
HAT-P-68b	1.072	2.29840551	0.02996	nan	0.212	HAT-P-68	118.7333334	23.93833336	14
HAT-P-69b	1.676	4.7869491	0.06555	nan	0.366	HAT-P-69	130.5041667	3.710555578	9.8
HAT-P-7b	1.431	2.204735471	0.0379	nan	0.497	HAT-P-7	292.2458333	47.9694444	10.5
HAT-P-70b	1.87	2.74432452	0.04739	nan	-0.629	HAT-P-70	74.55	9.998055587	9.5
HAT-P-8b	1.5	3.0763402	0.0449	nan	nan	HAT-P-8	343.0416667	35.4472222	10.17
HAT-P-9b	1.4	3.922814	0.053	nan	nan	HAT-P-9	110.1666667	37.1405556	nan
HATS-1b	1.302	3.446459	0.0444	nan	nan	HATS-1	175.525	-23.3547222	12.05
HATS-10b	0.969	3.312846	0.0449	nan	nan	HATS-10	294.3083333	-22.20444445	13.1
HATS-11b	1.609	3.619188	0.0507	nan	0.14	HATS-11	289.400757	-22.389927	14
HATS-12b	0.692	3.142702	0.0441	nan	0.43	HATS-12	289.202393	-19.355907	12.76
HATS-13b	1.212	3.0440499	0.04057	nan	0.249	HATS-13	316.9625	-26.09666668	13.89
HATS-14b	1.039	2.7667641	0.03815	nan	0.18	HATS-14	313.2166667	-25.68722224	13.79
HATS-15b	1.105	1.74748753	0.02712	nan	nan	HATS-15	311.0925	-19.43752779	14.774
HATS-16b	1.3	2.686502	0.03744	nan	nan	HATS-16	358.5585	-30.01300001	13.834
HATS-17b	0.777	16.254611	0.1308	nan	0.187	HATS-17	192.1916667	-47.61361113	12.4
HATS-18b	1.337	0.8378434	0.01761	nan	0.29	HATS-18	173.9583334	-29.15611112	14
HATS-19b	1.66	4.569673	0.0589	nan	0.32	HATS-19	147.4083333	-33.21861112	13
HATS-2b	1.168	1.354133	0.023	nan	nan	HATS-2	176.739094	-22.562992	13.562
HATS-20b	0.776	3.7992969	0.04619	nan	0.551	HATS-20	198.1333333	-45.59055557	13.77
HATS-21b	1.123	3.5543973	0.04676	nan	0.853	HATS-21	280.1833333	-58.45916668	12.2
HATS-22b	0.953	4.7228124	0.05025	nan	0.536	HATS-22	174.0083333	-29.60055557	13.46
HATS-23b	1.86	2.1605156	0.03397	nan	0.949	HATS-23	286.3666667	-50.0675	13.9
HATS-24b	1.487	1.3484954	0.02547	nan	0.276	HATS-24	268.8916667	-61.74722225	12.8
HATS-25b	1.26	4.2986432	0.05163	nan	0.538	HATS-25	207.9075	-23.78116669	13.1
HATS-26b	1.75	3.3023881	0.04735	nan	0.33	HATS-26	144.9268333	-28.58558335	12.955
HATS-27b	1.5	4.637038	0.0611	nan	0.36	HATS-27	193.5525	-46.58772224	12.8
HATS-28b	1.194	3.1810781	0.04131	nan	0.643	HATS-28	284.4	-49.13847223	nan
HATS-29b	1.251	4.6058749	0.05475	nan	0.502	HATS-29	135.096	-54.89319447	12.6
HATS-3b	1.381	3.547851	0.0485	nan	nan	HATS-3	312.4583	-24.4289	11.44
HATS-30b	1.175	3.1743516	0.04354	nan	0.487	HATS-30	5.618708343	-59.94255558	12.192
HATS-31b	1.64	3.37796	0.0478	nan	0.48	HATS-31	191.7041667	-24.42750002	13.1
HATS-32b	1.249	2.8126548	0.04024	nan	0.4	HATS-32	346.075	-21.27194445	14.38
HATS-33b	1.23	2.5495551	0.03727	nan	0.33	HATS-33	294.6333333	-55.33000002	11.9
HATS-34b	1.43	2.1061607	0.03166	nan	0.937	HATS-34	0.775000002	-62.46944446	13.85
HATS-35b	1.464	1.8209933	0.03199	nan	0.26	HATS-35	296.6875	-63.56555558	12.56
HATS-36b	1.153	4.175186	0.0523	nan	0.17	HATS-36	291.478699	-23.202793	14.386
HATS-37Ab	0.606	4.3315366	0.04913	nan	0.14	HATS-37A	199.8	-22.98694447	12.27
HATS-38b	0.614	4.375021	0.05036	nan	0.227	HATS-38	154.2708333	-25.2763889	12.4
HATS-39b	1.57	4.5776348	0.06	nan	0.696	HATS-39	112.4208333	-29.9377778	12.75
HATS-4b	1.02	2.516729	0.0362	nan	nan	HATS-4	94.11250001	-21.45305553	13.5
HATS-40b	1.58	3.2642736	0.04997	nan	0.35	HATS-40	100.5708333	-29.77694447	13.4
HATS-41b	1.33	4.193649	0.0583	nan	0.849	HATS-41	103.5166667	-27.05027778	17.7
HATS-42b	1.4	2.292102	0.03689	nan	0.46	HATS-42	108.45	-33.43722223	13.6
HATS-43b	1.18	4.3888497	0.04944	nan	nan	HATS-43	80.53816667	-30.97083336	13.593
HATS-44b	1.067	2.7439004	0.03649	nan	nan	HATS-44	84.32670834	-27.97261114	14.428
HATS-45b	1.286	4.1876244	0.05511	nan	nan	HATS-45	101.9942917	-21.91069447	13.307
HATS-46b	0.903	4.7423729	0.05367	nan	nan	HATS-46	6.702416683	-56.31611113	13.634
HATS-47b	1.117	3.9228038	0.04269	nan	0.7127	HATS-47	287.4833334	-49.66500003	14.8
HATS-48Ab	0.8	3.1316666	0.03769	nan	0.083	HATS-48A	288.6708333	-59.57944447	14.3
HATS-49b	0.765	4.1480467	0.04515	nan	0.42	HATS-49	6.612500009	-56.34444446	nan
HATS-5b	0.912	4.763387	0.0542	nan	nan	HATS-5	67.22500002	-20.51805553	12.63
HATS-50b	1.13	3.8297015	0.05046	nan	0.421	HATS-50	300.4291667	-26.07750001	14
HATS-51b	1.41	3.3488702	0.04639	nan	0.3	HATS-51	102.8458333	-29.05861112	12.5
HATS-52b	1.382	1.3665436	0.02498	nan	0.231	HATS-52	140.0875	-31.26944445	13.7
HATS-53b	1.34	3.8537768	0.04753	nan	0.198	HATS-53	176.6291667	-33.86000003	13.8
HATS-54b	1.067	2.5441828	0.03763	nan	0.74	HATS-54	200.6333333	-44.68888891	13.9
HATS-55b	1.251	nan	0.05412	nan	0.662	HATS-55	114.2833333	-32.75555558	nan
HATS-56b	1.688	4.324799	0.06043	nan	0.69	HATS-56	180.1666667	-45.79944447	11.6
HATS-57b	1.13	2.350621	0.03493	nan	0.29	HATS-57	60.95000002	-19.05666667	12.3
HATS-58Ab	1.095	4.2180896	0.05798	nan	0.655	HATS-58A	186.7875	-48.97833336	11.55
HATS-59b	1.126	5.416081	0.06112	nan	0.457	HATS-59	170.325	-22.38805557	14
HATS-6b	0.998	3.3252725	0.03623	nan	nan	HATS-6	88.14675001	-19.03166668	15.2
HATS-60b	1.153	3.560829	0.04708	nan	0.45	HATS-60	341.3625	-14.99166669	12.6
HATS-61b	1.195	7.817953	0.07908	nan	0.508	HATS-61	61.65833335	-25.34972224	13.2
HATS-62b	1.055	3.2768837	0.04163	nan	0.348	HATS-62	312.45	-24.30333334	14
HATS-63b	1.207	3.0566527	0.04026	nan	0.724	HATS-63	67.41666668	-28.19722224	13.7
HATS-64b	1.679	4.908897	0.06562	nan	0.321	HATS-64	144.2875	-29.80055557	12.8
HATS-65b	1.501	3.105161	0.04497	nan	0.667	HATS-65	292.9416667	-26.7402778	12.38
HATS-66b	1.411	3.1414391	0.04714	nan	0.283	HATS-66	101.3958333	-33.8816667	14
HATS-67b	1.685	1.6091788	0.03032	nan	0.8613	HATS-67	180.0208333	-46.13638889	14
HATS-68b	1.2321	3.5862202	0.05071	nan	0.736	HATS-68	15.00416667	-58.90472224	12.16
HATS-69b	0.945	2.2252577	0.03211	nan	0.207	HATS-69	289.2958333	-60.89166669	13.76
HATS-7b	0.563	3.185315	0.04012	nan	nan	HATS-7	208.857	-21.20769445	13.34
HATS-70b	1.384	1.8882378	0.03632	nan	0.24	HATS-70	109.1041667	-31.24444446	12.6
HATS-71Ab	1.08	3.7955213	0.03946	nan	0.329	HATS-71A	15.55	-61.75611113	15.3
HATS-72b	0.7224	7.3279474	0.066517	nan	0.153	HATS-72	339.025	-17.00000002	12.7
HATS-8b	0.873	3.583893	0.04667	nan	0.36	HATS-8	294.9416667	-25.74833336	14.03
HATS-9b	1.236	1.915291	0.0312	nan	0.16	HATS-9	290.810104	-20.166317	13.3
HD10442b	nan	1043	2.335	nan	nan	HD10442	25.47142668	2.704379184	7.84
HD106315b	0.218	9.55237	0.0907	nan	0.67	HD106315	183.472473	-0.393484	9
HD106315c	0.388	21.05704	0.1536	nan	0.52	HD106315	183.472473	-0.393484	9
HD108236f	0.17995	29.54115	0.1758	nan	nan	HD108236	186.574063	-51.363052	9.2
HD110113b	0.1829	2.541	0.035	nan	0.31	HD110113	190.0375	-44.31194446	10
HD1397b	1.026	11.53533	0.1097	nan	0.17	HD1397	4.445833349	-66.3588889	7.9
HD149026b	0.718	2.8758916	0.04288	2453317.838	nan	HD149026	247.6208333	38.3472222	8.15
HD152843b	0.3042	11.6264	0.1053	nan	0.32	HD152843	253.7833333	20.49138891	8.85
HD152843c	0.5201	27.13	nan	nan	0.49	HD152843	253.7833333	20.49138891	8.85
HD158259b	0.107	2.178	nan	nan	nan	HD158259	261.35	52.7906	6.46
HD17156b	1.095	21.2163979	0.1623	3738.529	nan	HD17156	42.4333333	71.7533333	8.17
HD183579b	0.3149	17.471278	0.1334	nan	0.32	HD183579	293.2875	-54.53250002	8.7
HD189733b	1.138	2.21857312	0.03142	2454037.612	nan	HD189733	300.1791667	22.7108333	7.67
HD191939b	0.3024	8.88029	0.078	nan	0.62	HD191939	302.025	66.8502778	9
HD191939c	0.2748	28.5805	0.17	nan	0.63	HD191939	302.025	66.8502778	9
HD191939d	0.2712	38.3525	0.207	nan	0.438	HD191939	302.025	66.8502778	9
HD195689b	1.84	1.4811235	0.03368	nan	nan	HD195689	307.8598084	39.93882625	7.56
HD202772Ab	1.562	3.30896	0.0519	nan	0.416	HD202772A	319.7	-26.61638891	8.32
HD209458b	1.38	3.52472	0.04747	2452968.399	nan	HD209458	330.7916667	18.8844444	7.65
HD213885b	0.15568	1.008035	0.02012	nan	0.675	HD213885	338.9833334	-59.86472225	8
HD219134b	0.134	3.093292	0.037	2449999.5	nan	HD219134	348.3208333	57.16833334	5.57
HD219666b	0.4202	6.03607	0.06356	nan	0.838	HD219666	349.5583333	-56.90388891	nan
HD221416b	0.836	14.2767	0.1228	nan	0.728	HD221416	353.033635	-21.80142135	8.15
HD23472b	0.16701	17.667	0.121	nan	nan	HD23472	55.45833335	-62.76694446	9.7
HD23472c	0.19172	29.625	0.17	nan	nan	HD23472	55.45833335	-62.76694446	9.7
HD2685b	1.44	4.12692	0.0568	nan	nan	HD2685	7.329166673	-76.30416668	9.59
HD283869b	0.1749	106	0.4	nan	0.64	HD283869	71.92500001	26.15	10.6
HD3167b	0.152	0.959624	0.0186	nan	0.39	HD3167	8.739684	4.381469	8.94
HD3167c	0.255	29.83832	0.1841	nan	0.46	HD3167	8.739684	4.381469	8.94
HD332231b	0.867	18.71204	0.1436	nan	0.133	HD332231	306.741325	33.74445133	8.56
HD5278b	0.2186	14.33902	0.12	nan	0.27	HD5278	12.54166667	-83.74388891	8
HD63433b	0.1918	7.10793	0.0719	nan	0.18	HD63433	117.4791667	27.36333335	7
HD63433c	0.2418	20.5456	0.1458	nan	0.5	HD63433	117.4791667	27.36333335	7
HD75784b	nan	341.7	1.073	nan	nan	HD75784	133.0997557	13.23343595	7.84
